product_sku;attribute_name;attribute_value
79148743;nombre_pages_imprimables_0;750 pages
79148743;couleur_article_0;Noir
79148743;type_consommable_0;Cartouche d'encre
79148743;cartouches_marque;Oui
79148743;cartridge_priority_order;3.0
79419748;note_environnementale;B
79419748;brand_link_url;https://bva-integ-web.decade.fr/nos-marques/sokoa.html
79419748;poids_max_supporte_en_kg_0;110 kg
79419748;couleur_pietement_obj_0_label;Noir
79419748;couleur_pietement_obj_0_value;noir
79419748;couleur_fauteuil_0;Vert
79419749;note_environnementale;B
79419749;brand_link_url;https://bva-integ-web.decade.fr/nos-marques/sokoa.html
79419749;poids_max_supporte_en_kg_0;110 kg
79419749;couleur_pietement_obj_0_label;Noir
79419749;couleur_pietement_obj_0_value;noir
79419749;couleur_fauteuil_0;Mauve
79392227;note_environnementale;C
79392227;brand_link_url;https://bva-integ-web.decade.fr/nos-marques/muvit.html
79392227;utilisation_recommandee_maroquinerie_0;Pour téléphone portable
79392227;type_maroquinerie;Coque de protection
79392228;note_environnementale;C
79392228;brand_link_url;https://bva-integ-web.decade.fr/nos-marques/muvit.html
79392228;materiaux_produit_0;PET
79391139;note_environnementale;B
79391139;brand_link_url;https://bva-integ-web.decade.fr/nos-marques/hp.html
79391139;points_forts_0;<ul><li>Les encres photo HP novatrices fournissent une combinaison inégalée de qualité d'image photographique, de résistance à l'eau et de résistance à la lumière exceptionnelle</li><li>Avec l'impression sans faille des consommables HP d'origine, évitez les tests et erreurs qui vous font perdre du temps</li><li>L'intelligence intégrée dans les cartouches d'encre HP d'origine inclut des fonctions qui vous font gagner du temps, par exemple des alertes pour le remplacement des cartouches</li></ul>
79391139;categorie_accessoire_0;Consommables d'impression
79391139;compatibilite_materiel_informatique_0;PC
79391139;compatibilite_produit_0;DesignJet Z6100, Z6100ps
79391139;consommables_inclus_0;Pack de 3
79391139;capacite_conso_0;standard
79391139;couleur_article_0;Magenta
79391139;type_consommable_0;Cartouche d'encre
79391139;cartouches_marque;Oui
79391139;cartridge_priority_order;0.0
79391139;contenance_ml_0;775 ml
79419814;hauteur_produi;41 cm
79419814;largeur_produit;19 cm
79419814;note_environnementale;C
79419814;poids_produit;0.815 kg
79419814;profondeur_produit;16 cm
79419814;brand_link_url;https://bva-integ-web.decade.fr/nos-marques/maul.html
79419814;points_forts_0;<ul><li>Chaque couleur est un accroche-regard</li><li>Très haute efficience énergétique</li><li>Solide : socle, bras et tête métalliques</li><li>Extrêmement économique</li><li>Conception technique de sécurité signée Maul</li><li>Forme compacte : peu encombrant et maniable</li></ul>
79419814;materiaux_produit_0;Métal
79419814;couleur_ecriture_0;Jaune
79150085;hauteur_produi;16 cm
79150085;largeur_produit;38 cm
79150085;note_environnementale;C
79150085;poids_produit;722 g
79150085;profondeur_produit;34 cm
79150085;brand_link_url;https://bva-integ-web.decade.fr/nos-marques/oberthur.html
79150085;type_maroquinerie;Cartable
79150085;materiau_maroquinerie_0;Polyester
79150086;hauteur_produi;38 cm
79150086;largeur_produit;41 cm
79150086;note_environnementale;C
79150086;poids_produit;1.675 kg
79150086;profondeur_produit;16 cm
