sku;product_name;created_at;updated_at;status;tax_class_id;brand;barcode;product_type;product_typology;product_condition;authorized_shop_sale;product_sales;rating_summary;total_reviews
79151237;Fellowes - Huile lubrifiante pour destructeur de documents - 350 ml;2025-05-25 02:32:00;2025-05-28 21:17:00;Enabled;Classe de taxe produit 20%;Fellowes;77511352508;StockÃ©;standard;Produit Neuf;;359.0;4 Ã©toiles;19.0
79151238;Fellowes Powershred - 100 Sacs poubelle;2025-05-25 02:32:00;2025-05-28 21:17:00;Enabled;Classe de taxe produit 20%;Fellowes;40100000000000000;StockÃ©;standard;;;2.0;;0.0
79151245;HP 364 - noir photo - cartouche d'encre originale (CB317EE);2025-05-24 21:50:00;2025-05-28 19:56:00;Enabled;Classe de taxe produit 20%;HP;88400000000000000;StockÃ©;cartridge;Produit Neuf;True;62.0;4 Ã©toiles;4.0
79425382;Clairefontaine Excellia - Papier cadeau - 70 cm x 50 m - 80 g/mÂ² - motif jeux NoÃ«l;2025-05-25 11:35:00;2025-05-28 23:12:00;Enabled;Classe de taxe produit 20%;Clairefontaine;333000000000000000;StockÃ©;standard;Produit Neuf;;2.0;;0.0
79425383;Clairefontaine Excellia - 1 Rouleau papier cadeau - Bottes de NoÃ«l;2025-05-25 11:35:00;2025-05-28 23:12:00;Enabled;Classe de taxe produit 20%;Clairefontaine;333000000000000000;StockÃ©;standard;;;2.0;;0.0
79425384;Clairefontaine Excellia - 1 Rouleau papier cadeau - Rouge motif rennes;2025-05-25 11:35:00;2025-05-28 23:12:00;Enabled;Classe de taxe produit 20%;Clairefontaine;333000000000000000;StockÃ©;standard;;;2.0;;0.0
79393399;Kaspersky Anti-Virus 2015 - version boÃ®te (1 an) - 3 PC;2025-05-26 18:41:00;2025-05-28 18:01:00;Enabled;Classe de taxe produit 20%;Kaspersky Lab;506000000000000000;StockÃ©;standard;;;2.0;;0.0
79393400;Kaspersky Internet Security 2015 - version boÃ®te (1 an) - 1 PC;2025-05-26 18:41:00;2025-05-28 18:01:00;Enabled;Classe de taxe produit 20%;Kaspersky Lab;506000000000000000;StockÃ©;standard;;;2.0;;0.0
79393401;Kaspersky Internet Security 2015 - version boÃ®te (1 an) - 3 PC;2025-05-26 18:41:00;2025-05-28 18:01:00;Enabled;Classe de taxe produit 20%;Kaspersky Lab;506000000000000000;StockÃ©;standard;;;2.0;;0.0
79393402;Kaspersky Internet Security 2015 - pack de boÃ®tiers (mise Ã  niveau) (1 an) - 3 PC;2025-05-26 18:41:00;2025-05-28 18:01:00;Enabled;Classe de taxe produit 20%;Kaspersky Lab;506000000000000000;StockÃ©;standard;;;2.0;;0.0
79393403;Kaspersky Internet Security 2015 - pack de boÃ®tiers (mise Ã  niveau) (1 an) - 1 PC;2025-05-26 18:41:00;2025-05-28 18:01:00;Enabled;Classe de taxe produit 20%;Kaspersky Lab;201000000000000000;StockÃ©;standard;;;2.0;;0.0
79393416;BRUNNEN cadre photo;2025-05-24 19:41:00;2025-05-28 19:15:00;Enabled;Classe de taxe produit 20%;BRUNNEN;400000000000000000;StockÃ©;standard;;;2.0;;0.0
79393417;BRUNNEN cadre photo;2025-05-24 19:41:00;2025-05-28 19:15:00;Enabled;Classe de taxe produit 20%;BRUNNEN;400000000000000000;StockÃ©;standard;;;2.0;;0.0
79393418;BRUNNEN cadre photo;2025-05-24 19:41:00;2025-05-28 19:15:00;Enabled;Classe de taxe produit 20%;BRUNNEN;400000000000000000;StockÃ©;standard;;;2.0;;0.0
79393419;BRUNNEN cadre photo;2025-05-24 19:41:00;2025-05-28 19:15:00;Enabled;Classe de taxe produit 20%;BRUNNEN;400000000000000000;StockÃ©;standard;;;2.0;;0.0
79393420;BRUNNEN cadre photo;2025-05-24 19:41:00;2025-05-28 19:15:00;Enabled;Classe de taxe produit 20%;BRUNNEN;400000000000000000;StockÃ©;standard;;;2.0;;0.0
79393421;BRUNNEN cadre photo;2025-05-24 19:41:00;2025-05-28 19:15:00;Enabled;Classe de taxe produit 20%;BRUNNEN;400000000000000000;StockÃ©;standard;;;2.0;;0.0
79146617;OKI 43865708 - noir - cartouche laser d'origine;2025-05-24 21:50:00;2025-05-28 19:56:00;Enabled;Classe de taxe produit 20%;OKI;503000000000000000;StockÃ©;cartridge;Produit Neuf;True;2.0;;0.0
79146618;OKI 43872307 - cyan - cartouche laser d'origine;2025-05-24 21:50:00;2025-05-28 19:56:00;Enabled;Classe de taxe produit 20%;OKI;503000000000000000;StockÃ©;cartridge;Produit Neuf;True;2.0;;0.0
79146619;OKI 43872305 - jaune - cartouche laser d'origine;2025-05-24 21:50:00;2025-05-28 19:56:00;Enabled;Classe de taxe produit 20%;OKI;791466191;StockÃ©;cartridge;Produit Neuf;True;2.0;;0.0
79146620;OKI 43872306 - magenta - cartouche laser d'origine;2025-05-24 21:50:00;2025-05-28 19:56:00;Enabled;Classe de taxe produit 20%;OKI;503000000000000000;StockÃ©;cartridge;Produit Neuf;True;2.0;;0.0
79425586;CATWALK - Fidget Cube - free love;2025-05-28 03:57:00;2025-05-28 03:57:00;Enabled;Classe de taxe produit 20%;CATWALK;65600000000000000;StockÃ©;standard;;;2.0;;0.0
